source,target,relationship
SHR_UKIE_CDW_PROD.UKIE_CDW_PROD_DMT_CDW_CREST.DMT_TLU_PRODUCT,CREST_DATA_DEV.GTMC_ADAPT_TRANSFORMATIONS.TFT_SALES_CEP_DAY_FOCUSED_SOCIAL,VIEW_DEPENDENCY
ONEKEY,CREST_DATA_DEV.GTMC_ADAPT_TRANSFORMATIONS.TFT_SALES_CEP_DAY_FOCUSED_SOCIAL,VIEW_DEPENDENCY
CTE_BRAND,CREST_DATA_DEV.GTMC_ADAPT_TRANSFORMATIONS.TFT_SALES_CEP_DAY_FOCUSED_SOCIAL,VIEW_DEPENDENCY
SHR_UKIE_CDW_PROD.UKIE_CDW_PROD_DMT_CDW_CREST.DMT_TFT_SALES_CEP_DAY,CREST_DATA_DEV.GTMC_ADAPT_TRANSFORMATIONS.TFT_SALES_CEP_DAY_FOCUSED_SOCIAL,VIEW_DEPENDENCY
SHR_UKIE_CDW_PROD.UKIE_CDW_PROD_DMT_CDW_CREST.DMT_TLU_CUSTOMER,CREST_DATA_DEV.GTMC_ADAPT_TRANSFORMATIONS.TFT_SALES_CEP_DAY_FOCUSED_SOCIAL,VIEW_DEPENDENCY
CTE_MAX_HCO_ID,CREST_DATA_DEV.GTMC_ADAPT_TRANSFORMATIONS.TFT_SALES_CEP_DAY_FOCUSED_SOCIAL,VIEW_DEPENDENCY
CTE_MAIN_QUERY,CREST_DATA_DEV.GTMC_ADAPT_TRANSFORMATIONS.TFT_SALES_CEP_DAY_FOCUSED_SOCIAL,VIEW_DEPENDENCY
SHR_DF_CI_PROD.DF_CI_PROD_DMT_CIA_CREST.DIM_HCO,CREST_DATA_DEV.GTMC_ADAPT_TRANSFORMATIONS.TFT_SALES_CEP_DAY_FOCUSED_SOCIAL,VIEW_DEPENDENCY
CTE_PACK_DESC,CREST_DATA_DEV.GTMC_ADAPT_TRANSFORMATIONS.TFT_SALES_CEP_DAY_FOCUSED_SOCIAL,VIEW_DEPENDENCY
V_GEOGRAPHY_SUBNATIONAL_ADAPT_UKIE,CREST_DATA_DEV.GTMC_ADAPT_TRANSFORMATIONS.V_GEOGRAPHY_SUBNATIONAL_ADAPT,VIEW_DEPENDENCY
V_GEOGRAPHY_SUBNATIONAL_ADAPT_LTM,CREST_DATA_DEV.GTMC_ADAPT_TRANSFORMATIONS.V_GEOGRAPHY_SUBNATIONAL_ADAPT,VIEW_DEPENDENCY
V_GEOGRAPHY_SUBNATIONAL_ADAPT_BR,CREST_DATA_DEV.GTMC_ADAPT_TRANSFORMATIONS.V_GEOGRAPHY_SUBNATIONAL_ADAPT,VIEW_DEPENDENCY
CREST_DATA_DEV.GTMC_ADAPT_TRANSFORMATIONS.V_PRODUCT_ISP_ALL_ADAPT_BR,CREST_DATA_DEV.GTMC_ADAPT_TRANSFORMATIONS.V_PRODUCT_ISP_ALL_ADAPT,VIEW_DEPENDENCY
CREST_DATA_DEV.GTMC_ADAPT_TRANSFORMATIONS.V_PRODUCT_ISP_ALL_ADAPT_LTM,CREST_DATA_DEV.GTMC_ADAPT_TRANSFORMATIONS.V_PRODUCT_ISP_ALL_ADAPT,VIEW_DEPENDENCY
CREST_DATA_DEV.GTMC_ADAPT_TRANSFORMATIONS.V_PRODUCT_ISP_ALL_ADAPT_UKIE,CREST_DATA_DEV.GTMC_ADAPT_TRANSFORMATIONS.V_PRODUCT_ISP_ALL_ADAPT,VIEW_DEPENDENCY
SHR_COMM_BRA_PROD.COMM_BRA_PROD_DWH_PAP_IQVIA_ED.DWH_M_ED,CREST_DATA_DEV.GTMC_ADAPT_TRANSFORMATIONS.V_XREF_ADAPT_BR_TO_BRAND,VIEW_DEPENDENCY
SHR_DF_MARKET_PROD.DF_MARKET_PROD_DMT_ONEPRODUCT.DT_ONEPRODUCT_PKPR,CREST_DATA_DEV.GTMC_ADAPT_TRANSFORMATIONS.V_XREF_ADAPT_BR_TO_BRAND,VIEW_DEPENDENCY
SHR_DF_MARKET_UAT.DF_MARKET_UAT_DMT_SALES_MARKET_SN_CREST.PRODUCT_LOCAL_CODE,CREST_DATA_DEV.GTMC_ADAPT_TRANSFORMATIONS.V_XREF_ADAPT_BR_TO_BRAND,VIEW_DEPENDENCY
SHR_DF_MARKET_UAT.DF_MARKET_UAT_DMT_SALES_MARKET_SN_CREST.PRODUCT,CREST_DATA_DEV.GTMC_ADAPT_TRANSFORMATIONS.V_XREF_ADAPT_BR_TO_BRAND,VIEW_DEPENDENCY
SHR_COMM_BRA_PROD.COMM_BRA_PROD_DWH_PAP_IQVIA_ED.DWH_M_ED,CREST_DATA_DEV.GTMC_ADAPT_TRANSFORMATIONS.V_XREF_ADAPT_BR_TO_CALENDAR,VIEW_DEPENDENCY
SHR_DF_MARKET_PROD.DF_MARKET_PROD_DMT_ONEPRODUCT.DT_ONEPRODUCT_PKPR,CREST_DATA_DEV.GTMC_ADAPT_TRANSFORMATIONS.V_XREF_ADAPT_LTM_GOB360_TO_ATC4,VIEW_DEPENDENCY
V_XREF_ADAPT_LTM_GOB360_TO_MOLECULE_LIST,CREST_DATA_DEV.GTMC_ADAPT_TRANSFORMATIONS.V_XREF_ADAPT_LTM_GOB360_TO_ATC4,VIEW_DEPENDENCY
SHR_COMM_LTM_DEV.COMM_LTM_DEV_DMT_LTM.DMT_MX_GOB360_BASE,CREST_DATA_DEV.GTMC_ADAPT_TRANSFORMATIONS.V_XREF_ADAPT_LTM_GOB360_TO_ATC4,VIEW_DEPENDENCY
SHR_COMM_LTM_DEV.COMM_LTM_DEV_DMT_LTM.DMT_MX_AR_DDD_BASE,CREST_DATA_DEV.GTMC_ADAPT_TRANSFORMATIONS.V_XREF_ADAPT_LTM_MX_AR_DDD_BASE_TO_CALENDAR,VIEW_DEPENDENCY
SHR_DF_MARKET_PROD.DF_MARKET_PROD_DMT_ONEPRODUCT.DT_ONEPRODUCT_PKPR,CREST_DATA_DEV.GTMC_ADAPT_TRANSFORMATIONS.V_XREF_MOLECULE_LIST_TO_BRND_NAME_MX_UNIQUE,VIEW_DEPENDENCY
V_PATIENT_ADAPT_UKIE,CREST_DATA_DEV.GTMC_ADAPT_TRANSFORMATIONS.V_PATIENT_ADAPT,VIEW_DEPENDENCY
SHR_DF_MARKET_PROD.DF_MARKET_PROD_DMT_ONEPRODUCT.DT_ONEPRODUCT_PKPR,CREST_DATA_DEV.GTMC_ADAPT_TRANSFORMATIONS.V_XREF_ADAPT_LTM_GOB360_TO_LOCAL_BRAND,VIEW_DEPENDENCY
V_XREF_ADAPT_LTM_GOB360_TO_BRAND,CREST_DATA_DEV.GTMC_ADAPT_TRANSFORMATIONS.V_XREF_ADAPT_LTM_GOB360_TO_LOCAL_BRAND,VIEW_DEPENDENCY
SHR_COMM_LTM_DEV.COMM_LTM_DEV_DMT_LTM.DMT_MX_GOB360_BASE,CREST_DATA_DEV.GTMC_ADAPT_TRANSFORMATIONS.V_XREF_ADAPT_LTM_GOB360_TO_LOCAL_BRAND,VIEW_DEPENDENCY
SHR_UKIE_CDW_PROD.UKIE_CDW_PROD_DMT_CDW_CREST.DMT_TLU_PRODUCT,CREST_DATA_DEV.GTMC_ADAPT_TRANSFORMATIONS.V_XREF_ADAPT_UKIE_TFT_SALES_CEP_DAY_TO_PRODUCT_ID_ISP_ALL,VIEW_DEPENDENCY
CREST_DATA_DEV.GTMC_CREST.V_DT_ONEPRODUCT_PKPR_ENHANCED,CREST_DATA_DEV.GTMC_ADAPT_TRANSFORMATIONS.V_XREF_ADAPT_UKIE_TFT_SALES_CEP_DAY_TO_PRODUCT_ID_ISP_ALL,VIEW_DEPENDENCY
SHR_UKIE_CDW_PROD.UKIE_CDW_PROD_DMT_CDW_CREST.DMT_TFT_SALES_CEP_DAY,CREST_DATA_DEV.GTMC_ADAPT_TRANSFORMATIONS.V_XREF_ADAPT_UKIE_TFT_SALES_CEP_DAY_TO_PRODUCT_ID_ISP_ALL,VIEW_DEPENDENCY
CREST_DATA_DEV.GTMC_MSDF_TRANSFORMATIONS.V_CHANNEL_MSDF,CREST_DATA_DEV.GTMC_CREST.V_CHANNEL,VIEW_DEPENDENCY
CREST_DATA_DEV.GTMC_ADAPT_TRANSFORMATIONS.V_CHANNEL_ADAPT,CREST_DATA_DEV.GTMC_CREST.V_CHANNEL,VIEW_DEPENDENCY
SHR_DF_MARKET_PROD.DF_MARKET_PROD_DMT_ONEPRODUCT.DT_ONEPRODUCT_CE,CREST_DATA_DEV.GTMC_CREST.V_FACT_TEAM,VIEW_DEPENDENCY
SHR_DF_CI_PROD.DF_CI_PROD_DMT_CIA_CREST.DIM_TEAM,CREST_DATA_DEV.GTMC_CREST.V_FACT_TEAM,VIEW_DEPENDENCY
CREST_DATA_DEV.GTMC_CREST.V_TEAM_TO_BRAND_DISEASE,CREST_DATA_DEV.GTMC_CREST.V_FACT_TEAM,VIEW_DEPENDENCY
LMID_BRAND,CREST_DATA_DEV.GTMC_CREST.V_MASTER_ADAPT_TERRITORY_ALIGMENT,VIEW_DEPENDENCY
SHR_DF_CI_PROD.DF_CI_PROD_DMT_CIA_CREST.DIM_TEAM_TERRITORY,CREST_DATA_DEV.GTMC_CREST.V_MASTER_ADAPT_TERRITORY_ALIGMENT,VIEW_DEPENDENCY
SHR_COMM_IBE_PROD.COMM_IBE_PROD_DMT_COMM_IBE.VW_FCT_SALES_IN_ADJUSTED_WITH_TERR_PT,CREST_DATA_DEV.GTMC_CREST.V_MASTER_ADAPT_TERRITORY_ALIGMENT,VIEW_DEPENDENCY
SHR_COMM_GSA_PROD.COMM_GSA_PROD_DMT_COMM_GSA.VW_DIM_EMP_TERR_ASSIGNMENT,CREST_DATA_DEV.GTMC_CREST.V_MASTER_ADAPT_TERRITORY_ALIGMENT,VIEW_DEPENDENCY
RANKED_SALES_IT,CREST_DATA_DEV.GTMC_CREST.V_MASTER_ADAPT_TERRITORY_ALIGMENT,VIEW_DEPENDENCY
FINAL_DUPI_ALIGMENT_CH,CREST_DATA_DEV.GTMC_CREST.V_MASTER_ADAPT_TERRITORY_ALIGMENT,VIEW_DEPENDENCY
RANKED_SALES_DE,CREST_DATA_DEV.GTMC_CREST.V_MASTER_ADAPT_TERRITORY_ALIGMENT,VIEW_DEPENDENCY
SHR_COMM_GSA_PROD.COMM_GSA_PROD_DMT_COMM_GSA.VW_DIM_CUST_TERR_ASSIGNMENT,CREST_DATA_DEV.GTMC_CREST.V_MASTER_ADAPT_TERRITORY_ALIGMENT,VIEW_DEPENDENCY
SHR_COMM_IBE_PROD.COMM_IBE_PROD_DMT_COMM_IBE.VW_FCT_SALES_IN_ADJUSTED_WITH_TERR_ES,CREST_DATA_DEV.GTMC_CREST.V_MASTER_ADAPT_TERRITORY_ALIGMENT,VIEW_DEPENDENCY
ACCOUNTS_EXTRACT_DE,CREST_DATA_DEV.GTMC_CREST.V_MASTER_ADAPT_TERRITORY_ALIGMENT,VIEW_DEPENDENCY
FRANCE_ALIGNMENT,CREST_DATA_DEV.GTMC_CREST.V_MASTER_ADAPT_TERRITORY_ALIGMENT,VIEW_DEPENDENCY
SHR_COMM_ITA_PROD.COMM_ITA_PROD_DMT_COMM_ITA.DIM_CUST_TERR_ASSIGNMENT,CREST_DATA_DEV.GTMC_CREST.V_MASTER_ADAPT_TERRITORY_ALIGMENT,VIEW_DEPENDENCY
SHR_COMM_GSA_PROD.COMM_GSA_PROD_DMT_COMM_GSA.VW_DIM_HCO,CREST_DATA_DEV.GTMC_CREST.V_MASTER_ADAPT_TERRITORY_ALIGMENT,VIEW_DEPENDENCY
SHR_COMM_IBE_PROD.COMM_IBE_PROD_DMT_COMM_IBE.VW_DIM_TEAM,CREST_DATA_DEV.GTMC_CREST.V_MASTER_ADAPT_TERRITORY_ALIGMENT,VIEW_DEPENDENCY
BASE_VIEW_DUPI_CH,CREST_DATA_DEV.GTMC_CREST.V_MASTER_ADAPT_TERRITORY_ALIGMENT,VIEW_DEPENDENCY
SHR_COMM_GSA_PROD.COMM_GSA_PROD_DMT_COMM_GSA.VW_DIM_PRODUCT_LMID,CREST_DATA_DEV.GTMC_CREST.V_MASTER_ADAPT_TERRITORY_ALIGMENT,VIEW_DEPENDENCY
SHR_COMM_GSA_PROD.COMM_GSA_PROD_DMT_COMM_GSA.VW_DIM_PRODUCT_BRAND,CREST_DATA_DEV.GTMC_CREST.V_MASTER_ADAPT_TERRITORY_ALIGMENT,VIEW_DEPENDENCY
RANKED_SALES_CH,CREST_DATA_DEV.GTMC_CREST.V_MASTER_ADAPT_TERRITORY_ALIGMENT,VIEW_DEPENDENCY
SHR_COMM_GSA_PROD.COMM_GSA_PROD_DMT_COMM_GSA.VW_DIM_TERRITORY_HIERARCHY,CREST_DATA_DEV.GTMC_CREST.V_MASTER_ADAPT_TERRITORY_ALIGMENT,VIEW_DEPENDENCY
SHR_DF_CI_PROD.DF_CI_PROD_DMT_CIA_CREST.DIM_TERRITORY_BRICK,CREST_DATA_DEV.GTMC_CREST.V_MASTER_ADAPT_TERRITORY_ALIGMENT,VIEW_DEPENDENCY
SHR_DF_CI_PROD.DF_CI_PROD_DMT_CIA_CREST.DIM_TERRITORY_HIERARCHY,CREST_DATA_DEV.GTMC_CREST.V_MASTER_ADAPT_TERRITORY_ALIGMENT,VIEW_DEPENDENCY
SHR_COMM_GSA_PROD.COMM_GSA_PROD_DMT_COMM_GSA.VW_DIM_TERRITORY_BRICK,CREST_DATA_DEV.GTMC_CREST.V_MASTER_ADAPT_TERRITORY_ALIGMENT,VIEW_DEPENDENCY
SHR_COMM_GSA_PROD.COMM_GSA_PROD_DMT_COMM_GSA.VW_DIM_PRODUCT_GMID,CREST_DATA_DEV.GTMC_CREST.V_MASTER_ADAPT_TERRITORY_ALIGMENT,VIEW_DEPENDENCY
IQVIA_BRICK_DE,CREST_DATA_DEV.GTMC_CREST.V_MASTER_ADAPT_TERRITORY_ALIGMENT,VIEW_DEPENDENCY
SHR_COMM_ITA_PROD.COMM_ITA_PROD_DMT_COMM_ITA.DIM_CUST_BRAND_TO_TERR_EXCEP,CREST_DATA_DEV.GTMC_CREST.V_MASTER_ADAPT_TERRITORY_ALIGMENT,VIEW_DEPENDENCY
SHR_COMM_IBE_PROD.COMM_IBE_PROD_DMT_COMM_IBE.VW_DIM_TERRITORY,CREST_DATA_DEV.GTMC_CREST.V_MASTER_ADAPT_TERRITORY_ALIGMENT,VIEW_DEPENDENCY
SHR_DF_CI_PROD.DF_CI_PROD_DMT_CIA_CREST.DIM_HCO_BRICK,CREST_DATA_DEV.GTMC_CREST.V_MASTER_ADAPT_TERRITORY_ALIGMENT,VIEW_DEPENDENCY
SHR_COMM_GSA_PROD.COMM_GSA_PROD_DMT_COMM_GSA.VW_FCT_INVOICE,CREST_DATA_DEV.GTMC_CREST.V_MASTER_ADAPT_TERRITORY_ALIGMENT,VIEW_DEPENDENCY
SHR_DF_CI_PROD.DF_CI_PROD_DMT_CIA_CREST.DIM_TERRITORY,CREST_DATA_DEV.GTMC_CREST.V_MASTER_ADAPT_TERRITORY_ALIGMENT,VIEW_DEPENDENCY
DUPIX_SALES,CREST_DATA_DEV.GTMC_CREST.V_MASTER_ADAPT_TERRITORY_ALIGMENT,VIEW_DEPENDENCY
SHR_DF_CI_PROD.DF_CI_PROD_DMT_CIA_CREST.DIM_TEAM,CREST_DATA_DEV.GTMC_CREST.V_MASTER_ADAPT_TERRITORY_ALIGMENT,VIEW_DEPENDENCY
RANKED_SALES_ES,CREST_DATA_DEV.GTMC_CREST.V_MASTER_ADAPT_TERRITORY_ALIGMENT,VIEW_DEPENDENCY
SHR_COMM_IBE_PROD.COMM_IBE_PROD_DMT_COMM_IBE.VW_DIM_HCO,CREST_DATA_DEV.GTMC_CREST.V_MASTER_ADAPT_TERRITORY_ALIGMENT,VIEW_DEPENDENCY
SHR_COMM_GSA_PROD.COMM_GSA_PROD_DMT_COMM_GSA.VW_DIM_CUSTOMER,CREST_DATA_DEV.GTMC_CREST.V_MASTER_ADAPT_TERRITORY_ALIGMENT,VIEW_DEPENDENCY
SHR_COMM_GSA_PROD.COMM_GSA_PROD_DMT_COMM_GSA.VW_DIM_ZIP_TO_STATE,CREST_DATA_DEV.GTMC_CREST.V_MASTER_ADAPT_TERRITORY_ALIGMENT,VIEW_DEPENDENCY
SHR_DF_CI_PROD.DF_CI_PROD_DMT_CIA_CREST.DIM_EMP_TERR_ASSIGNMENT,CREST_DATA_DEV.GTMC_CREST.V_MASTER_ADAPT_TERRITORY_ALIGMENT,VIEW_DEPENDENCY
SHR_COMM_GSA_PROD.COMM_GSA_PROD_DMT_COMM_GSA.VW_IQVIA_BRICK,CREST_DATA_DEV.GTMC_CREST.V_MASTER_ADAPT_TERRITORY_ALIGMENT,VIEW_DEPENDENCY
RANKED_SALES_PT,CREST_DATA_DEV.GTMC_CREST.V_MASTER_ADAPT_TERRITORY_ALIGMENT,VIEW_DEPENDENCY
CUST_BRAND_QTY,CREST_DATA_DEV.GTMC_CREST.V_MASTER_ADAPT_TERRITORY_ALIGMENT,VIEW_DEPENDENCY
SHR_COMM_ITA_PROD.COMM_ITA_PROD_DMT_COMM_ITA.DIM_HCO_BRICK,CREST_DATA_DEV.GTMC_CREST.V_MASTER_ADAPT_TERRITORY_ALIGMENT,VIEW_DEPENDENCY
CREST_DATA_DEV.GTMC_SANDBOX.V_TEAM_TO_BRAND_DISEASE,CREST_DATA_DEV.GTMC_CREST.V_TEAM_TO_SANOFI_MARKETS_CANDIDATES,VIEW_DEPENDENCY
V_TEAM_TO_BRAND_DISEASE,CREST_DATA_DEV.GTMC_CREST.V_TEAM_TO_SANOFI_MARKETS_CANDIDATES,VIEW_DEPENDENCY
PRODUCT_MARKET_ISP_ALL,CREST_DATA_DEV.GTMC_CREST.V_TEAM_TO_SANOFI_MARKETS_CANDIDATES,VIEW_DEPENDENCY
MARKET_DISEASE,CREST_DATA_DEV.GTMC_CREST.V_TEAM_TO_SANOFI_MARKETS_CANDIDATES,VIEW_DEPENDENCY
SHR_DF_MARKET_PROD.DF_MARKET_PROD_DMT_SALES_MARKET_SN_CREST.MARKET,CREST_DATA_DEV.GTMC_CREST.V_TEAM_TO_SANOFI_MARKETS_CANDIDATES,VIEW_DEPENDENCY
CREST_DATA_DEV.GTMC_MSDF_TRANSFORMATIONS.PRODUCT_MARKET_ISP_ALL_MSDF,CREST_DATA_DEV.GTMC_MSDF_TRANSFORMATIONS.V_TEAM_TO_SANOFI_MARKETS,VIEW_DEPENDENCY
CREST_DATA_DEV.GTMC_MSDF_TRANSFORMATIONS.V_TEAM_TO_BRAND_DISEASE_CORRECTED,CREST_DATA_DEV.GTMC_MSDF_TRANSFORMATIONS.V_TEAM_TO_SANOFI_MARKETS,VIEW_DEPENDENCY
