id,label,group
SHR_UKIE_CDW_PROD.UKIE_CDW_PROD_DMT_CDW_CREST.DMT_TLU_PRODUCT,SHR_UKIE_CDW_PROD.UKIE_CDW_PROD_DMT_CDW_CREST.DMT_TLU_PRODUCT,SHR_UKIE_CDW_PROD
ONEKEY,ONEKEY,ONEKEY
CTE_BRAND,CTE_BRAND,CTE_BRAND
SHR_UKIE_CDW_PROD.UKIE_CDW_PROD_DMT_CDW_CREST.DMT_TFT_SALES_CEP_DAY,SHR_UKIE_CDW_PROD.UKIE_CDW_PROD_DMT_CDW_CREST.DMT_TFT_SALES_CEP_DAY,SHR_UKIE_CDW_PROD
SHR_UKIE_CDW_PROD.UKIE_CDW_PROD_DMT_CDW_CREST.DMT_TLU_CUSTOMER,SHR_UKIE_CDW_PROD.UKIE_CDW_PROD_DMT_CDW_CREST.DMT_TLU_CUSTOMER,SHR_UKIE_CDW_PROD
CTE_MAX_HCO_ID,CTE_MAX_HCO_ID,CTE_MAX_HCO_ID
CTE_MAIN_QUERY,CTE_MAIN_QUERY,CTE_MAIN_QUERY
SHR_DF_CI_PROD.DF_CI_PROD_DMT_CIA_CREST.DIM_HCO,SHR_DF_CI_PROD.DF_CI_PROD_DMT_CIA_CREST.DIM_HCO,SHR_DF_CI_PROD
CTE_PACK_DESC,CTE_PACK_DESC,CTE_PACK_DESC
V_GEOGRAPHY_SUBNATIONAL_ADAPT_UKIE,V_GEOGRAPHY_SUBNATIONAL_ADAPT_UKIE,V_GEOGRAPHY_SUBNATIONAL_ADAPT_UKIE
V_GEOGRAPHY_SUBNATIONAL_ADAPT_LTM,V_GEOGRAPHY_SUBNATIONAL_ADAPT_LTM,V_GEOGRAPHY_SUBNATIONAL_ADAPT_LTM
V_GEOGRAPHY_SUBNATIONAL_ADAPT_BR,V_GEOGRAPHY_SUBNATIONAL_ADAPT_BR,V_GEOGRAPHY_SUBNATIONAL_ADAPT_BR
CREST_DATA_DEV.GTMC_ADAPT_TRANSFORMATIONS.V_PRODUCT_ISP_ALL_ADAPT_BR,CREST_DATA_DEV.GTMC_ADAPT_TRANSFORMATIONS.V_PRODUCT_ISP_ALL_ADAPT_BR,CREST_DATA_DEV
CREST_DATA_DEV.GTMC_ADAPT_TRANSFORMATIONS.V_PRODUCT_ISP_ALL_ADAPT_LTM,CREST_DATA_DEV.GTMC_ADAPT_TRANSFORMATIONS.V_PRODUCT_ISP_ALL_ADAPT_LTM,CREST_DATA_DEV
CREST_DATA_DEV.GTMC_ADAPT_TRANSFORMATIONS.V_PRODUCT_ISP_ALL_ADAPT_UKIE,CREST_DATA_DEV.GTMC_ADAPT_TRANSFORMATIONS.V_PRODUCT_ISP_ALL_ADAPT_UKIE,CREST_DATA_DEV
SHR_COMM_BRA_PROD.COMM_BRA_PROD_DWH_PAP_IQVIA_ED.DWH_M_ED,SHR_COMM_BRA_PROD.COMM_BRA_PROD_DWH_PAP_IQVIA_ED.DWH_M_ED,SHR_COMM_BRA_PROD
SHR_DF_MARKET_PROD.DF_MARKET_PROD_DMT_ONEPRODUCT.DT_ONEPRODUCT_PKPR,SHR_DF_MARKET_PROD.DF_MARKET_PROD_DMT_ONEPRODUCT.DT_ONEPRODUCT_PKPR,SHR_DF_MARKET_PROD
SHR_DF_MARKET_UAT.DF_MARKET_UAT_DMT_SALES_MARKET_SN_CREST.PRODUCT_LOCAL_CODE,SHR_DF_MARKET_UAT.DF_MARKET_UAT_DMT_SALES_MARKET_SN_CREST.PRODUCT_LOCAL_CODE,SHR_DF_MARKET_UAT
SHR_DF_MARKET_UAT.DF_MARKET_UAT_DMT_SALES_MARKET_SN_CREST.PRODUCT,SHR_DF_MARKET_UAT.DF_MARKET_UAT_DMT_SALES_MARKET_SN_CREST.PRODUCT,SHR_DF_MARKET_UAT
V_XREF_ADAPT_LTM_GOB360_TO_MOLECULE_LIST,V_XREF_ADAPT_LTM_GOB360_TO_MOLECULE_LIST,V_XREF_ADAPT_LTM_GOB360_TO_MOLECULE_LIST
SHR_COMM_LTM_DEV.COMM_LTM_DEV_DMT_LTM.DMT_MX_GOB360_BASE,SHR_COMM_LTM_DEV.COMM_LTM_DEV_DMT_LTM.DMT_MX_GOB360_BASE,SHR_COMM_LTM_DEV
SHR_COMM_LTM_DEV.COMM_LTM_DEV_DMT_LTM.DMT_MX_AR_DDD_BASE,SHR_COMM_LTM_DEV.COMM_LTM_DEV_DMT_LTM.DMT_MX_AR_DDD_BASE,SHR_COMM_LTM_DEV
V_PATIENT_ADAPT_UKIE,V_PATIENT_ADAPT_UKIE,V_PATIENT_ADAPT_UKIE
V_XREF_ADAPT_LTM_GOB360_TO_BRAND,V_XREF_ADAPT_LTM_GOB360_TO_BRAND,V_XREF_ADAPT_LTM_GOB360_TO_BRAND
CREST_DATA_DEV.GTMC_CREST.V_DT_ONEPRODUCT_PKPR_ENHANCED,CREST_DATA_DEV.GTMC_CREST.V_DT_ONEPRODUCT_PKPR_ENHANCED,CREST_DATA_DEV
