node_id,node_type
SHR_UKIE_CDW_PROD.UKIE_CDW_PROD_DMT_CDW_CREST.DMT_TLU_PRODUCT,object
ONEKEY,object
CTE_BRAND,object
SHR_UKIE_CDW_PROD.UKIE_CDW_PROD_DMT_CDW_CREST.DMT_TFT_SALES_CEP_DAY,object
SHR_UKIE_CDW_PROD.UKIE_CDW_PROD_DMT_CDW_CREST.DMT_TLU_CUSTOMER,object
CTE_MAX_HCO_ID,object
CTE_MAIN_QUERY,object
SHR_DF_CI_PROD.DF_CI_PROD_DMT_CIA_CREST.DIM_HCO,object
CTE_PACK_DESC,object
V_GEOGRAPHY_SUBNATIONAL_ADAPT_UKIE,object
V_GEOGRAPHY_SUBNATIONAL_ADAPT_LTM,object
V_GEOGRAPHY_SUBNATIONAL_ADAPT_BR,object
CREST_DATA_DEV.GTMC_ADAPT_TRANSFORMATIONS.V_PRODUCT_ISP_ALL_ADAPT_BR,object
CREST_DATA_DEV.GTMC_ADAPT_TRANSFORMATIONS.V_PRODUCT_ISP_ALL_ADAPT_LTM,object
CREST_DATA_DEV.GTMC_ADAPT_TRANSFORMATIONS.V_PRODUCT_ISP_ALL_ADAPT_UKIE,object
SHR_COMM_BRA_PROD.COMM_BRA_PROD_DWH_PAP_IQVIA_ED.DWH_M_ED,object
SHR_DF_MARKET_PROD.DF_MARKET_PROD_DMT_ONEPRODUCT.DT_ONEPRODUCT_PKPR,object
SHR_DF_MARKET_UAT.DF_MARKET_UAT_DMT_SALES_MARKET_SN_CREST.PRODUCT_LOCAL_CODE,object
SHR_DF_MARKET_UAT.DF_MARKET_UAT_DMT_SALES_MARKET_SN_CREST.PRODUCT,object
V_XREF_ADAPT_LTM_GOB360_TO_MOLECULE_LIST,object
SHR_COMM_LTM_DEV.COMM_LTM_DEV_DMT_LTM.DMT_MX_GOB360_BASE,object
SHR_COMM_LTM_DEV.COMM_LTM_DEV_DMT_LTM.DMT_MX_AR_DDD_BASE,object
V_PATIENT_ADAPT_UKIE,object
V_XREF_ADAPT_LTM_GOB360_TO_BRAND,object
CREST_DATA_DEV.GTMC_CREST.V_DT_ONEPRODUCT_PKPR_ENHANCED,object
CREST_DATA_DEV.GTMC_MSDF_TRANSFORMATIONS.V_CHANNEL_MSDF,object
CREST_DATA_DEV.GTMC_ADAPT_TRANSFORMATIONS.V_CHANNEL_ADAPT,object
SHR_DF_MARKET_PROD.DF_MARKET_PROD_DMT_ONEPRODUCT.DT_ONEPRODUCT_CE,object
SHR_DF_CI_PROD.DF_CI_PROD_DMT_CIA_CREST.DIM_TEAM,object
CREST_DATA_DEV.GTMC_CREST.V_TEAM_TO_BRAND_DISEASE,object
LMID_BRAND,object
SHR_DF_CI_PROD.DF_CI_PROD_DMT_CIA_CREST.DIM_TEAM_TERRITORY,object
SHR_COMM_IBE_PROD.COMM_IBE_PROD_DMT_COMM_IBE.VW_FCT_SALES_IN_ADJUSTED_WITH_TERR_PT,object
SHR_COMM_GSA_PROD.COMM_GSA_PROD_DMT_COMM_GSA.VW_DIM_EMP_TERR_ASSIGNMENT,object
RANKED_SALES_IT,object
FINAL_DUPI_ALIGMENT_CH,object
RANKED_SALES_DE,object
SHR_COMM_GSA_PROD.COMM_GSA_PROD_DMT_COMM_GSA.VW_DIM_CUST_TERR_ASSIGNMENT,object
SHR_COMM_IBE_PROD.COMM_IBE_PROD_DMT_COMM_IBE.VW_FCT_SALES_IN_ADJUSTED_WITH_TERR_ES,object
ACCOUNTS_EXTRACT_DE,object
FRANCE_ALIGNMENT,object
SHR_COMM_ITA_PROD.COMM_ITA_PROD_DMT_COMM_ITA.DIM_CUST_TERR_ASSIGNMENT,object
SHR_COMM_GSA_PROD.COMM_GSA_PROD_DMT_COMM_GSA.VW_DIM_HCO,object
SHR_COMM_IBE_PROD.COMM_IBE_PROD_DMT_COMM_IBE.VW_DIM_TEAM,object
BASE_VIEW_DUPI_CH,object
SHR_COMM_GSA_PROD.COMM_GSA_PROD_DMT_COMM_GSA.VW_DIM_PRODUCT_LMID,object
SHR_COMM_GSA_PROD.COMM_GSA_PROD_DMT_COMM_GSA.VW_DIM_PRODUCT_BRAND,object
RANKED_SALES_CH,object
SHR_COMM_GSA_PROD.COMM_GSA_PROD_DMT_COMM_GSA.VW_DIM_TERRITORY_HIERARCHY,object
SHR_DF_CI_PROD.DF_CI_PROD_DMT_CIA_CREST.DIM_TERRITORY_BRICK,object
SHR_DF_CI_PROD.DF_CI_PROD_DMT_CIA_CREST.DIM_TERRITORY_HIERARCHY,object
SHR_COMM_GSA_PROD.COMM_GSA_PROD_DMT_COMM_GSA.VW_DIM_TERRITORY_BRICK,object
SHR_COMM_GSA_PROD.COMM_GSA_PROD_DMT_COMM_GSA.VW_DIM_PRODUCT_GMID,object
IQVIA_BRICK_DE,object
SHR_COMM_ITA_PROD.COMM_ITA_PROD_DMT_COMM_ITA.DIM_CUST_BRAND_TO_TERR_EXCEP,object
SHR_COMM_IBE_PROD.COMM_IBE_PROD_DMT_COMM_IBE.VW_DIM_TERRITORY,object
SHR_DF_CI_PROD.DF_CI_PROD_DMT_CIA_CREST.DIM_HCO_BRICK,object
SHR_COMM_GSA_PROD.COMM_GSA_PROD_DMT_COMM_GSA.VW_FCT_INVOICE,object
SHR_DF_CI_PROD.DF_CI_PROD_DMT_CIA_CREST.DIM_TERRITORY,object
DUPIX_SALES,object
RANKED_SALES_ES,object
SHR_COMM_IBE_PROD.COMM_IBE_PROD_DMT_COMM_IBE.VW_DIM_HCO,object
SHR_COMM_GSA_PROD.COMM_GSA_PROD_DMT_COMM_GSA.VW_DIM_CUSTOMER,object
SHR_COMM_GSA_PROD.COMM_GSA_PROD_DMT_COMM_GSA.VW_DIM_ZIP_TO_STATE,object
