PK_PRODUCT_ID,REF_PRODUCT_ID,SOURCE_SYSTEM_CD,LMID_CD,GMID_CD,LMID_NM,GMID_NM,EAN_CD,INTERNATIONAL_TRADEMARK_CD,INTERNATIONAL_TRADEMARK_DESC,SMART_CD,SMART_DESC,MATERIAL_TYPE_CD,MATERIAL_TYPE_DESC,PRODUCT_HIERARCHY,GROUPE_ART_1,DISTRIB_CHANNEL,SALES_ORG,MAT_PRICE_GRP,MATERIAL_GROUP_CD,MATERIAL_GROUP_DESC,LOCAL_TRADE_CD,LOCAL_TRADE_DESC,ATTRIBUT_PROD_2,CONVERSION_UNIT_OF_MEASURE_NUM,UCD_CD,MDM_PRODUCT_ID
20001,P00001,SAP,LM1001,GM5001,GSK 10mg,GSK,3400996988646,TM587,GSK Global,SM005,Immunology,MT03,Raw Material,03-02-08-08,GA01,30,1000,PG01,MG03,OTC General,LT01,Pharmacy,Injection,10,UCD5001,MDM0001
20002,P00002,SAP,LM1002,GM5002,Sanofi 25mg,Sanofi,3400962299891,TM526,Sanofi Global,SM010,Pediatrics,MT03,Raw Material,01-03-06-03,GA05,20,2000,PG02,MG06,Rheumatology,LT06,Respiratory Care,Syrup,100,UCD5002,MDM0002
20003,P00003,SAP,LM1003,GM5003,Bayer 2mg,Bayer,3400934085848,TM822,Bayer Global,SM001,Analgesics,MT03,Raw Material,02-02-09-09,GA07,30,2000,PG05,MG05,Endocrinology,LT01,Pharmacy,Tablet,100,UCD5003,MDM0003
20004,P00004,SAP,LM1004,GM5004,Roche 200mg,Roche,3400995674186,TM871,Roche Global,SM002,Antibiotics,MT01,Finished Product,03-03-08-22,GA08,30,3000,PG03,MG05,Endocrinology,LT04,Cold Chain,Capsule,1,UCD5004,MDM0004
20005,P00005,SAP,LM1005,GM5005,Merck 10mg,Merck,3400968428015,TM904,Merck Global,SM010,Pediatrics,MT03,Raw Material,02-03-08-12,GA04,20,3000,PG04,MG04,Digestive Health,LT05,Specialty,Syrup,10,UCD5005,MDM0005
20006,P00006,SAP,LM1006,GM5006,Johnson & Johnson 10mg,Johnson & Johnson,3400960248477,TM986,Johnson & Johnson Global,SM007,Respiratory,MT03,Raw Material,02-02-03-14,GA08,10,3000,PG03,MG04,Digestive Health,LT03,OTC,Inhaler,1,UCD5006,MDM0006
20007,P00007,SAP,LM1007,GM5007,Roche 25mg,Roche,3400919045869,TM204,Roche Global,SM010,Pediatrics,MT01,Finished Product,01-03-01-25,GA05,30,3000,PG03,MG02,Anti-Infective,LT01,Pharmacy,Syrup,1,UCD5007,MDM0007
20008,P00008,SAP,LM1008,GM5008,Servier 10mg,Servier,3400979471251,TM982,Servier Global,SM009,Dermatology,MT03,Raw Material,03-03-05-03,GA07,30,1000,PG02,MG07,Allergy,LT05,Specialty,Gel,1,UCD5008,MDM0008
20009,P00009,SAP,LM1009,GM5009,Merck 25mg,Merck,3400985101809,TM356,Merck Global,SM007,Respiratory,MT03,Raw Material,02-01-01-17,GA08,20,3000,PG03,MG04,Digestive Health,LT03,OTC,Inhaler,1,UCD5009,MDM0009
20010,P00010,SAP,LM1010,GM5010,AbbVie 10mg,AbbVie,340096152E422,TM728,AbbVie Global,SM007,Respiratory,MT01,Finished Product,03-02-01-07,GA03,10,3000,PG05,MG07,Allergy,LT01,Pharmacy,Inhaler,10,UCD5010,MDM0010
