child,parent,relation
Node_1,Node_0,belongs_to
Node_2,Node_1,connected_to
Node_3,Node_0,depends_on
Node_4,Node_3,belongs_to
Node_5,Node_1,belongs_to
Node_6,Node_2,linked_to
Node_7,Node_0,belongs_to
Node_8,Node_3,inherits_from
Node_9,Node_5,inherits_from
Node_10,Node_2,linked_to
Node_11,Node_1,belongs_to
Node_12,Node_2,connected_to
Node_13,Node_8,connected_to
Node_14,Node_13,belongs_to
Node_15,Node_14,belongs_to
Node_16,Node_3,inherits_from
Node_17,Node_12,connected_to
Node_18,Node_10,inherits_from
Node_19,Node_3,depends_on
Node_20,Node_17,inherits_from
Node_21,Node_16,inherits_from
Node_22,Node_10,belongs_to
Node_23,Node_15,connected_to
Node_24,Node_19,inherits_from
Node_25,Node_16,belongs_to
Node_26,Node_11,belongs_to
Node_27,Node_26,depends_on
Node_28,Node_20,inherits_from
Node_29,Node_16,inherits_from
Node_30,Node_16,connected_to
Node_31,Node_29,inherits_from
Node_32,Node_7,connected_to
Node_33,Node_23,inherits_from
Node_34,Node_22,inherits_from
Node_35,Node_5,inherits_from
Node_36,Node_29,linked_to
Node_37,Node_32,connected_to
Node_38,Node_12,depends_on
Node_39,Node_27,belongs_to
Node_40,Node_28,connected_to
Node_41,Node_12,belongs_to
Node_42,Node_20,connected_to
Node_43,Node_21,linked_to
Node_44,Node_9,linked_to
Node_45,Node_41,belongs_to
Node_46,Node_10,belongs_to
Node_47,Node_18,inherits_from
Node_48,Node_30,inherits_from
Node_49,Node_4,connected_to
Node_50,Node_15,depends_on
Node_51,Node_38,linked_to
Node_52,Node_6,linked_to
Node_53,Node_3,belongs_to
Node_54,Node_49,linked_to
Node_55,Node_44,linked_to
Node_56,Node_52,linked_to
Node_57,Node_14,linked_to
Node_58,Node_55,depends_on
Node_59,Node_6,belongs_to
Node_60,Node_57,connected_to
Node_61,Node_41,inherits_from
Node_62,Node_1,connected_to
Node_63,Node_28,connected_to
Node_64,Node_39,connected_to
Node_65,Node_33,belongs_to
Node_66,Node_9,inherits_from
Node_67,Node_56,depends_on
Node_68,Node_61,connected_to
Node_69,Node_12,connected_to
Node_70,Node_8,inherits_from
Node_71,Node_37,depends_on
Node_72,Node_24,depends_on
Node_73,Node_68,belongs_to
Node_74,Node_63,depends_on
Node_75,Node_71,connected_to
Node_76,Node_53,linked_to
Node_77,Node_35,inherits_from
Node_78,Node_69,linked_to
Node_79,Node_21,depends_on
Node_80,Node_10,linked_to
Node_81,Node_7,inherits_from
Node_82,Node_18,connected_to
Node_83,Node_31,connected_to
Node_84,Node_29,linked_to
Node_85,Node_25,linked_to
Node_86,Node_45,inherits_from
Node_87,Node_68,connected_to
Node_88,Node_36,belongs_to
Node_89,Node_73,linked_to
Node_90,Node_26,connected_to
Node_91,Node_31,linked_to
Node_92,Node_14,depends_on
Node_93,Node_42,belongs_to
Node_94,Node_79,connected_to
Node_95,Node_65,belongs_to
Node_96,Node_19,inherits_from
Node_97,Node_18,inherits_from
Node_98,Node_20,belongs_to
Node_99,Node_78,depends_on
Node_100,Node_31,depends_on
Node_101,Node_90,inherits_from
Node_102,Node_56,depends_on
Node_103,Node_12,inherits_from
Node_104,Node_86,inherits_from
Node_105,Node_26,linked_to
Node_106,Node_10,inherits_from
Node_107,Node_78,depends_on
Node_108,Node_47,linked_to
Node_109,Node_24,depends_on
Node_110,Node_66,inherits_from
Node_111,Node_98,depends_on
Node_112,Node_29,connected_to
Node_113,Node_108,connected_to
Node_114,Node_20,depends_on
Node_115,Node_19,depends_on
Node_116,Node_60,belongs_to
Node_117,Node_85,linked_to
Node_118,Node_41,linked_to
Node_119,Node_2,linked_to
Node_120,Node_109,connected_to
Node_121,Node_22,belongs_to
Node_122,Node_108,depends_on
Node_123,Node_34,inherits_from
Node_124,Node_28,inherits_from
Node_125,Node_121,depends_on
Node_126,Node_27,depends_on
Node_127,Node_24,inherits_from
Node_128,Node_114,depends_on
Node_129,Node_100,linked_to
Node_130,Node_79,connected_to
Node_131,Node_77,inherits_from
Node_132,Node_41,linked_to
Node_133,Node_115,inherits_from
Node_134,Node_84,depends_on
Node_135,Node_115,inherits_from
Node_136,Node_18,belongs_to
Node_137,Node_70,depends_on
Node_138,Node_106,linked_to
Node_139,Node_134,belongs_to
Node_140,Node_98,linked_to
Node_141,Node_120,linked_to
Node_142,Node_75,depends_on
Node_143,Node_132,belongs_to
Node_144,Node_122,inherits_from
Node_145,Node_20,linked_to
Node_146,Node_28,linked_to
Node_147,Node_127,inherits_from
Node_148,Node_94,linked_to
Node_149,Node_120,inherits_from
Node_150,Node_133,linked_to
Node_151,Node_137,depends_on
Node_152,Node_26,inherits_from
Node_153,Node_93,depends_on
Node_154,Node_75,connected_to
Node_155,Node_62,belongs_to
Node_156,Node_89,connected_to
Node_157,Node_78,connected_to
Node_158,Node_144,connected_to
Node_159,Node_112,linked_to
Node_160,Node_99,belongs_to
Node_161,Node_64,inherits_from
Node_162,Node_21,connected_to
Node_163,Node_21,inherits_from
Node_164,Node_157,linked_to
Node_165,Node_81,belongs_to
Node_166,Node_31,inherits_from
Node_167,Node_114,belongs_to
Node_168,Node_162,depends_on
Node_169,Node_91,inherits_from
Node_170,Node_47,belongs_to
Node_171,Node_83,inherits_from
Node_172,Node_62,inherits_from
Node_173,Node_29,linked_to
Node_174,Node_76,depends_on
Node_175,Node_88,connected_to
Node_176,Node_100,inherits_from
Node_177,Node_145,depends_on
Node_178,Node_19,belongs_to
Node_179,Node_108,belongs_to
Node_180,Node_160,belongs_to
Node_181,Node_41,connected_to
Node_182,Node_89,belongs_to
Node_183,Node_145,depends_on
Node_184,Node_68,depends_on
Node_185,Node_168,inherits_from
Node_186,Node_37,inherits_from
Node_187,Node_97,depends_on
Node_188,Node_157,depends_on
Node_189,Node_66,depends_on
Node_190,Node_173,belongs_to
Node_191,Node_129,belongs_to
Node_192,Node_145,belongs_to
Node_193,Node_172,inherits_from
Node_194,Node_152,belongs_to
Node_195,Node_152,belongs_to
Node_196,Node_86,connected_to
Node_197,Node_171,connected_to
Node_198,Node_10,linked_to
Node_199,Node_155,depends_on
Node_200,Node_86,connected_to
Node_201,Node_158,connected_to
Node_202,Node_194,linked_to
Node_203,Node_9,linked_to
Node_204,Node_110,linked_to
Node_205,Node_173,connected_to
Node_206,Node_131,linked_to
Node_207,Node_135,belongs_to
Node_208,Node_98,depends_on
Node_209,Node_158,inherits_from
Node_210,Node_147,inherits_from
Node_211,Node_74,depends_on
Node_212,Node_53,inherits_from
Node_213,Node_160,inherits_from
Node_214,Node_105,inherits_from
Node_215,Node_9,linked_to
Node_216,Node_91,inherits_from
Node_217,Node_5,connected_to
Node_218,Node_95,belongs_to
Node_219,Node_213,belongs_to
Node_220,Node_12,depends_on
Node_221,Node_158,belongs_to
Node_222,Node_188,inherits_from
Node_223,Node_101,connected_to
Node_224,Node_81,depends_on
Node_225,Node_178,inherits_from
Node_226,Node_46,belongs_to
Node_227,Node_193,connected_to
Node_228,Node_213,depends_on
Node_229,Node_204,connected_to
Node_230,Node_34,belongs_to
Node_231,Node_111,connected_to
Node_232,Node_7,belongs_to
Node_233,Node_30,belongs_to
Node_234,Node_127,depends_on
Node_235,Node_56,belongs_to
Node_236,Node_222,belongs_to
Node_237,Node_159,linked_to
Node_238,Node_154,depends_on
Node_239,Node_129,belongs_to
Node_240,Node_62,inherits_from
Node_241,Node_180,depends_on
Node_242,Node_215,inherits_from
Node_243,Node_183,linked_to
Node_244,Node_136,belongs_to
Node_245,Node_80,inherits_from
Node_246,Node_209,depends_on
Node_247,Node_179,inherits_from
Node_248,Node_137,inherits_from
Node_249,Node_194,inherits_from
Node_250,Node_165,depends_on
Node_251,Node_238,inherits_from
Node_252,Node_223,linked_to
Node_253,Node_44,depends_on
Node_254,Node_95,linked_to
Node_255,Node_203,belongs_to
Node_256,Node_79,linked_to
Node_257,Node_41,linked_to
Node_258,Node_204,connected_to
Node_259,Node_118,depends_on
Node_260,Node_205,belongs_to
Node_261,Node_18,inherits_from
Node_262,Node_180,inherits_from
Node_263,Node_7,belongs_to
Node_264,Node_45,connected_to
Node_265,Node_187,belongs_to
Node_266,Node_31,linked_to
Node_267,Node_234,linked_to
Node_268,Node_148,depends_on
Node_269,Node_259,linked_to
Node_270,Node_258,connected_to
Node_271,Node_224,depends_on
Node_272,Node_267,linked_to
Node_273,Node_194,linked_to
Node_274,Node_84,belongs_to
Node_275,Node_55,inherits_from
Node_276,Node_229,connected_to
Node_277,Node_35,linked_to
Node_278,Node_49,belongs_to
Node_279,Node_77,inherits_from
Node_280,Node_217,linked_to
Node_281,Node_184,depends_on
Node_282,Node_39,depends_on
Node_283,Node_99,depends_on
Node_284,Node_136,connected_to
Node_285,Node_8,inherits_from
Node_286,Node_53,connected_to
Node_287,Node_150,inherits_from
Node_288,Node_27,belongs_to
Node_289,Node_102,inherits_from
Node_290,Node_280,linked_to
Node_291,Node_137,linked_to
Node_292,Node_180,belongs_to
Node_293,Node_35,linked_to
Node_294,Node_187,linked_to
Node_295,Node_108,belongs_to
Node_296,Node_276,belongs_to
Node_297,Node_59,belongs_to
Node_298,Node_192,linked_to
Node_299,Node_198,belongs_to
Node_300,Node_283,connected_to
Node_301,Node_145,inherits_from
Node_302,Node_189,depends_on
Node_303,Node_64,belongs_to
Node_304,Node_296,depends_on
Node_305,Node_71,linked_to
Node_306,Node_211,belongs_to
Node_307,Node_141,inherits_from
Node_308,Node_48,depends_on
Node_309,Node_24,belongs_to
Node_310,Node_111,belongs_to
Node_311,Node_144,linked_to
Node_312,Node_60,linked_to
Node_313,Node_163,linked_to
Node_314,Node_274,belongs_to
Node_315,Node_213,connected_to
Node_316,Node_205,linked_to
Node_317,Node_128,inherits_from
Node_318,Node_232,belongs_to
Node_319,Node_29,inherits_from
Node_320,Node_68,connected_to
Node_321,Node_16,inherits_from
Node_322,Node_159,linked_to
Node_323,Node_180,inherits_from
Node_324,Node_7,inherits_from
Node_325,Node_292,belongs_to
Node_326,Node_314,linked_to
Node_327,Node_69,inherits_from
Node_328,Node_221,connected_to
Node_329,Node_160,connected_to
Node_330,Node_277,linked_to
Node_331,Node_328,belongs_to
Node_332,Node_185,connected_to
Node_333,Node_64,linked_to
Node_334,Node_160,inherits_from
Node_335,Node_286,linked_to
Node_336,Node_158,connected_to
Node_337,Node_28,depends_on
Node_338,Node_309,depends_on
Node_339,Node_6,inherits_from
Node_340,Node_36,connected_to
Node_341,Node_197,linked_to
Node_342,Node_7,connected_to
Node_343,Node_248,linked_to
Node_344,Node_74,inherits_from
Node_345,Node_82,belongs_to
Node_346,Node_12,connected_to
Node_347,Node_244,depends_on
Node_348,Node_250,connected_to
Node_349,Node_128,depends_on
Node_350,Node_311,depends_on
Node_351,Node_99,belongs_to
Node_352,Node_343,belongs_to
Node_353,Node_65,connected_to
Node_354,Node_32,belongs_to
Node_355,Node_104,depends_on
Node_356,Node_150,depends_on
Node_357,Node_345,belongs_to
Node_358,Node_79,depends_on
Node_359,Node_330,inherits_from
Node_360,Node_161,connected_to
Node_361,Node_339,linked_to
Node_362,Node_341,linked_to
Node_363,Node_126,linked_to
Node_364,Node_252,linked_to
Node_365,Node_206,inherits_from
Node_366,Node_185,depends_on
Node_367,Node_310,connected_to
Node_368,Node_70,linked_to
Node_369,Node_122,belongs_to
Node_370,Node_56,connected_to
Node_371,Node_192,connected_to
Node_372,Node_55,connected_to
Node_373,Node_251,connected_to
Node_374,Node_348,depends_on
Node_375,Node_61,linked_to
Node_376,Node_213,connected_to
Node_377,Node_39,belongs_to
Node_378,Node_146,inherits_from
Node_379,Node_337,connected_to
Node_380,Node_234,connected_to
Node_381,Node_60,inherits_from
Node_382,Node_307,depends_on
Node_383,Node_107,depends_on
Node_384,Node_248,depends_on
Node_385,Node_383,belongs_to
Node_386,Node_378,depends_on
Node_387,Node_305,belongs_to
Node_388,Node_245,inherits_from
Node_389,Node_346,inherits_from
Node_390,Node_262,linked_to
Node_391,Node_86,belongs_to
Node_392,Node_319,connected_to
Node_393,Node_157,linked_to
Node_394,Node_119,inherits_from
Node_395,Node_124,depends_on
Node_396,Node_353,belongs_to
Node_397,Node_321,connected_to
Node_398,Node_68,connected_to
Node_399,Node_229,belongs_to
Node_400,Node_27,inherits_from
Node_401,Node_353,belongs_to
Node_402,Node_290,belongs_to
Node_403,Node_38,linked_to
Node_404,Node_277,depends_on
Node_405,Node_280,belongs_to
Node_406,Node_165,inherits_from
Node_407,Node_69,inherits_from
Node_408,Node_18,depends_on
Node_409,Node_205,linked_to
Node_410,Node_199,linked_to
Node_411,Node_158,belongs_to
Node_412,Node_92,inherits_from
Node_413,Node_411,belongs_to
Node_414,Node_172,belongs_to
Node_415,Node_118,depends_on
Node_416,Node_13,linked_to
Node_417,Node_333,depends_on
Node_418,Node_71,belongs_to
Node_419,Node_346,depends_on
Node_420,Node_359,inherits_from
Node_421,Node_68,connected_to
Node_422,Node_162,linked_to
Node_423,Node_65,linked_to
Node_424,Node_217,depends_on
Node_425,Node_273,belongs_to
Node_426,Node_332,inherits_from
Node_427,Node_91,connected_to
Node_428,Node_175,depends_on
Node_429,Node_359,belongs_to
Node_430,Node_355,depends_on
